id_cita;cita_es;cita_la;cita_original;autor_es;referencia;autor_la;bio_es;bio_la;codigo;idioma_es;idioma_la;nacion_es;nacion_la;epoca_es;epoca_la;imagen;imagen_atr
782;El euskera en el corazón pero el castellano en los labios;Lingua Vasconum in corde sed Hispana in labiis;Euskara bihotzean baina erdara ezpainean;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
783;Ni cabeza ni rabo;Nec caput nec cauda;Ez buru ta ez buztan;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
784;No hay rosa sin espinas;Non est rosa sine spinis;Ez duk larrosik arantza gaberik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
785;No es eso nada nuevo;Non est illud novum;Ez da horixe atzo goizekoa;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
786;Ojos que no ven corazón que no siente;Oculi qui non vident cor quod non sentit;Ez dakusan begirik ez ahalgerik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
787;No tener pelos en la lengua;Non habere pilos in lingua;Ez dauka horretxek mingainean herdoilik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
788;Todo aquel que no tiene es generoso;Omnis qui non habet largus est;Ez duan oro emaile hon;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
789;No voy a la iglesia porque estoy cojo voy a la taberna porque el vino me hace bien;Non eo ad ecclesiam quia claudus sum eo ad tabernam quia vinum mihi bene facit;Ez naiz joaten elizara maingu naizelako joaten naiz tabernara ardoa on zaidalako;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
790;Antes de casarte ten cuidado con lo que hagas;Antequam nubas cave quid facias;Ezkondu baino lehen kontu zer egiten den;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
791;Recién casados alegría después las historias;Nuper nupti laetitia postea narrationes;Ezkongaietan bero kontuak gero;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
792;Año de bellotas año de nieve;Annus glandium annus nivis;Ezkur urte elur urte;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
793;La enfermedad ladrón silencioso;Morbus fur tacitus;Gaitza lapur isila;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
794;No hay edad para la enfermedad;Non est aetas pro morbo;Gaitzarentzat ez da adinik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
795;Disculpad lo mal dicho y recordad lo bien dicho;Ignoscite male dicta et memorate bene dicta;Gaizki esanak barkatu eta ondo esanak gogoan hartu;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
796;En casa de irresponsables caldo de mañana al atardecer;In domo imprudentum ius matutinum ad vesperam;Ganorabakoen etxean goizeko salda arratsean;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
797;La victoria el final de muchos desvelos;Victoria finis multarum vigiliarum;Garaipena neke askoren ondorena;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
798;La palabra hoy dicha mañana se la lleva el viento;Verbum hodie dictum cras ventus fert;Gaur hitza eman bihar haizeak eraman;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
799;Dije mentira en casa y llegó a la calle antes que yo;Mendacium dixi domi et ante me in viam pervenit;Gezurra esan nuen etxean ni baino lehenago kalean;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
800;Dije mentira en Getaria y llegó antes que yo al portal;Mendacium dixi Getariae et ante me ad atrium pervenit;Gezurra esan nuen Getarian eta ni baino lehenago zen atarian;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
801;La mentira tiene el rabo corto;Mendacium caudam brevem habet;Gezurrak buztana labur;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
802;Guillermo mañana morirás pasado mañana te enterrarán al otro día te olvidarán;Guillerme cras morieris perendie sepelieris die sequenti oblivione traderis;Gilen bihar hilen etzi ehortziren etzidamu ahantziren;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
803;El hombre es hombre el gato es gatito;Homo homo est felis feliculus est;Gizona gizon katua mixon;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
804;El que más arriba se encuentra es el que cacarea;Qui altius est ille cantat;Goien dagoenak jotzen du kukurruku;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
805;Mañana roja tarde lluviosa;Mane rubra vesper pluvialis;Goiz gorri arrats euri;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
806;A la mañana caldo de puerros al mediodía berzas fácil te cabrán los pantalones;Mane ius porrorum meridie brassicae facile tibi bracae capient;Goizean porrusalda eta eguerdian azak aise kabituko zaizkik ipurdian galtzak;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
807;Nube del amanecer fuente del anochecer;Nubes aurorae fons vesperae;Goizeko laino gorri gaueko iturri;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
808;Arriba nosotros y los nuestros;Sursum nos et nostri;Gora gu eta gutarrak;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
809;Nosotros y nosotros y nosotros al final Gurugú los demás ganan y nosotros perdemos;Nos et nos et nos tandem Gurugu alii vincunt nos perdimus;Gu ta gu ta gu azkenean Gurugu besteak irabazi eta guk galdu;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
810;Nuestro gato tiene cola larga cree que los demás también la tienen;Felis noster caudam longam habet credit alios etiam habere;Gure katuak buztana luze besteek hala dutela uste;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
811;Si estás a gusto no hay cuestas;Si bene tibi est non sunt clivi;Gustuko lekuan aldaparik ez;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
812;Adonde sople el viento se agita el pañuelo;Quo ventus flat mappula agitatur;Haizeak nora zapiak hara;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
813;El nacido entre peñas tira a las peñas;Natus inter rupes ad rupes tendit;Haitzean jaioak haitzera nahi;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
814;Vaya par tú uno y yo otro;Ecce par tu unus ego alius;Hara bi zu bat eta beste ni;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
815;Las piedras no tienen ojos;Lapides oculos non habent;Harriak ez du begirik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
816;El rápido cobrador es mal pagador;Collector celer solutor malus;Hartzaile bizkor emaile koxkor;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
817;Rápido en cobrar y tonto al pagar;Celer colligere stultus solvere;Hartzeko pronto eta emateko tonto;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
818;El grande siempre tiene razón el pequeño jamás;Magnus semper rationem habet parvus numquam;Handia beti legez txikia behin ere ez;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
819;El que no tiene niños no tiene buen recibimiento;Qui liberos non habet non habet bonam receptionem;Haurrik ez duanak ez haur abegirik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
820;El ave para el aire el hombre para el trabajo;Avis aeri homo labori;Hegaztia airerako gizona lanerako;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
821;Viento sur viento de locos;Ventus australis ventus insanorum;Hego haizea ero haizea;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
822;Tú también estarías presente en la mesa donde se repartió la envidia;Tu quoque in mensa ubi invidia distributa est praesens eras;Hi ere inbidia partitu zen mahaian izango hintzen;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
823;Vete a herrar gansos;Vade anseres ferrare;Hoa antzarrak perratzera;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
824;Mejor uno en mano que dos en el barrio;Melius unus in manu quam duo in vico;Hobe da bat eskuan ez bi auzoan;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
825;Mejor ir a pie y a lo seguro que a caballo y al hoyo;Melius pedibus et secure quam equo et ad foveam;Hobe da oinez eta segurura eta ez zaldiz eta zulora;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
826;Ahí te las compongas muchachote;Ibi tibi compone iuvenis;Hor konpon Marianton;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
827;Comprar el yugo antes de comprar los bueyes;Emere iugum antequam boves emere;Uztarria erosi idiak erosi aurretik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
828;Parrandero de noche sueño a la mañana;Comissator nocte somnus mane;Ibiltari gauean logale goizean;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
829;Idiazabal la puerta celestial abierta;Idiazabal porta caelestis aperta;Idiazabal zeruko ateak zabal;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
830;Luna y niebla ambiente de brujas;Luna et nebula aer sagarum;Ilargi eta laino sorginentzat giro;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
831;Es mejor que se quede en blanco el pelo que la mente;Melius est ut capillus albescat quam mens;Ilea zuritzea hobe da burua baino;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
832;El que está callado no miente;Qui tacet non mentitur;Isilik dagoenak ez dio gezurrik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
833;Callados hasta que la gallina mee;Taciti donec gallina mingat;Isilik oiloak pixa egin arte;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
834;Del nombre al ser hay un puente;A nomine ad esse pons est;Izenetik izanera gogoa zubi;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
835;Come y duerme y gordito;Ede et dormi et pinguis;Janda lo ta potolo;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
836;Dios único y el suficiente;Deus unus et ipse sufficiens;Jainkoa bat eta bera nahikoa;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
837;Dios el que está por encima de todas las cosas;Deus qui super omnia est;Jainkoa gauza guztien gainekoa;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
838;No se puede fiar con los santos que comen;Non fidendum est sanctis qui edunt;Jaten duten santuekin ez dago fidatzerik;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
839;Jesús María y José siempre comiendo y siempre hambriento;Iesus Maria et Ioseph semper edentes semper esurientes;Jesus Maria eta Jose beti jan eta beti gose;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
840;El que no quiera escuchar la campana que no mueva la cuerda;Qui campanam audire non vult funem non moveat;Kanpaia nahi ez duenak aditu ez dezala soka mugitu;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
841;En la casa donde no hay gatos los ratones bailan;In domo ubi feles non sunt mures saltant;Katurik ez dagoen etxean saguak dantzan;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
842;El trabajo más fácil mandar;Labor facillimus imperare;Lanik errazena agintzea;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
843;El trabajo rápido trabajo baldío;Labor celer labor vanus;Lan lasterra lan alferra;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
844;Antes así ahora asá luego quién sabrá;Olim sic nunc sic postea quis sciet;Lehen hala orain hola gero ez jakin nola;Refrán Vasco;;Sententia Vasconica;Proverbios de la tradición oral vasca que reflejan la relación con la naturaleza, el trabajo y los valores comunitarios del pueblo vasco.;Collectio sententiarum Vasconicarum.;eu;Euskara;Lingua Vasconica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/bjgxB3kn/euskadi.png;0
